Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P02,S4,5,2025-08-11T15:59:05.489549,2025-08-11T15:59:05.528934,39,1,44.18349266052246,39,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:05.528934,2025-08-11T15:59:05.557106,28,2,44.18349266052246,67,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:05.557106,2025-08-11T15:59:05.557106,0,3,44.18349266052246,67,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:05.489549,2025-08-11T15:59:05.590247,100,1,44.18349266052246,100,0,0,60,dining table,15.9807,468.6949,1014.6306,799.2777,0.3941,Yes,
P02,S4,5,2025-08-11T15:59:05.623000,2025-08-11T15:59:05.623000,0,1,177.63519287109375,0,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:05.656134,2025-08-11T15:59:05.689117,32,2,177.63519287109375,32,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:05.623000,2025-08-11T15:59:05.689117,66,2,44.18349266052246,166,0,0,60,dining table,15.9807,468.6949,1014.6306,799.2777,0.3941,Yes,
P02,S4,5,2025-08-11T15:59:05.789058,2025-08-11T15:59:05.839297,50,4,44.18349266052246,117,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:05.839297,2025-08-11T15:59:05.868380,29,5,44.18349266052246,146,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:05.895642,2025-08-11T15:59:05.931805,36,6,44.18349266052246,183,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:05.977701,2025-08-11T15:59:05.995308,17,3,177.63519287109375,50,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:05.977701,2025-08-11T15:59:05.995308,17,1,532.3359966278076,17,0,0,67,cell phone,795.5117,623.019,937.4116,706.3394,0.2992,Yes,
P02,S4,5,2025-08-11T15:59:05.977701,2025-08-11T15:59:05.995308,17,1,532.3359966278076,17,0,0,76,scissors,795.3523,622.6544,937.1311,708.0699,0.2598,Yes,
P02,S4,5,2025-08-11T15:59:06.028818,2025-08-11T15:59:06.028818,0,4,177.63519287109375,50,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:06.063824,2025-08-11T15:59:06.063824,0,5,177.63519287109375,50,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:06.096207,2025-08-11T15:59:06.096207,0,6,177.63519287109375,50,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:06.132886,2025-08-11T15:59:06.165141,32,7,177.63519287109375,82,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:06.096207,2025-08-11T15:59:06.195633,99,2,532.3359966278076,117,0,0,67,cell phone,795.5117,623.019,937.4116,706.3394,0.2992,Yes,
P02,S4,5,2025-08-11T15:59:06.195633,2025-08-11T15:59:06.277861,82,8,177.63519287109375,165,0,0,0,person,246.173,624.254,1086.0638,1073.6292,0.7161,Yes,
P02,S4,5,2025-08-11T15:59:05.765767,2025-08-11T15:59:06.295646,529,3,44.18349266052246,696,0,0,60,dining table,15.9807,468.6949,1014.6306,799.2777,0.3941,Yes,
P02,S4,5,2025-08-11T15:59:06.362009,2025-08-11T15:59:06.393871,31,1,916.6436195373535,31,0,0,39,bottle,382.1114,438.4567,462.6767,598.0599,0.4266,Yes,
P02,S4,5,2025-08-11T15:59:06.393871,2025-08-11T15:59:06.425483,31,7,44.18349266052246,214,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:06.425483,2025-08-11T15:59:06.469776,44,8,44.18349266052246,258,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:06.469776,2025-08-11T15:59:06.497099,27,9,44.18349266052246,286,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:06.497099,2025-08-11T15:59:06.533228,36,10,44.18349266052246,322,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:06.533228,2025-08-11T15:59:06.577540,44,2,916.6436195373535,76,0,0,39,bottle,382.1114,438.4567,462.6767,598.0599,0.4266,Yes,
P02,S4,5,2025-08-11T15:59:06.577540,2025-08-11T15:59:06.593784,16,11,44.18349266052246,338,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:06.393871,2025-08-11T15:59:06.593784,199,4,44.18349266052246,896,0,0,60,dining table,15.9807,468.6949,1014.6306,799.2777,0.3941,Yes,
P02,S4,5,2025-08-11T15:59:06.689322,2025-08-11T15:59:06.731771,42,1,1243.957281112671,42,0,0,62,tv,193.322,0.0,801.0222,352.3374,0.4588,Yes,
P02,S4,5,2025-08-11T15:59:06.760531,2025-08-11T15:59:06.795829,35,12,44.18349266052246,373,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:06.795829,2025-08-11T15:59:06.862598,66,13,44.18349266052246,440,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:06.760531,2025-08-11T15:59:06.862598,102,5,44.18349266052246,998,0,0,60,dining table,15.9807,468.6949,1014.6306,799.2777,0.3941,Yes,
P02,S4,5,2025-08-11T15:59:06.932712,2025-08-11T15:59:06.932712,0,2,1243.957281112671,42,0,0,62,tv,193.322,0.0,801.0222,352.3374,0.4588,Yes,
P02,S4,5,2025-08-11T15:59:06.962723,2025-08-11T15:59:06.962723,0,3,1243.957281112671,42,0,0,62,tv,193.322,0.0,801.0222,352.3374,0.4588,Yes,
P02,S4,5,2025-08-11T15:59:06.994083,2025-08-11T15:59:06.994083,0,4,1243.957281112671,42,0,0,62,tv,193.322,0.0,801.0222,352.3374,0.4588,Yes,
P02,S4,5,2025-08-11T15:59:07.064084,2025-08-11T15:59:07.064084,0,5,1243.957281112671,42,0,0,62,tv,193.322,0.0,801.0222,352.3374,0.4588,Yes,
P02,S4,5,2025-08-11T15:59:07.091642,2025-08-11T15:59:07.091642,0,6,1243.957281112671,42,0,0,62,tv,193.322,0.0,801.0222,352.3374,0.4588,Yes,
P02,S4,5,2025-08-11T15:59:07.137739,2025-08-11T15:59:07.137739,0,7,1243.957281112671,42,0,0,62,tv,193.322,0.0,801.0222,352.3374,0.4588,Yes,
P02,S4,5,2025-08-11T15:59:07.230793,2025-08-11T15:59:07.230793,0,14,44.18349266052246,440,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.261088,2025-08-11T15:59:07.294232,33,15,44.18349266052246,473,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.294232,2025-08-11T15:59:07.294232,0,16,44.18349266052246,473,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.330496,2025-08-11T15:59:07.362138,31,17,44.18349266052246,505,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.362138,2025-08-11T15:59:07.362138,0,18,44.18349266052246,505,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.396201,2025-08-11T15:59:07.431242,35,19,44.18349266052246,540,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.431242,2025-08-11T15:59:07.477549,46,20,44.18349266052246,586,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.477549,2025-08-11T15:59:07.494122,16,21,44.18349266052246,603,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.494122,2025-08-11T15:59:07.532316,38,22,44.18349266052246,641,0,0,41,cup,425.3116,468.0444,527.5812,587.1438,0.6541,Yes,
P02,S4,5,2025-08-11T15:59:07.230793,2025-08-11T15:59:07.532316,301,6,44.18349266052246,1300,0,0,60,dining table,15.9807,468.6949,1014.6306,799.2777,0.3941,Yes,
