Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P01,S5,3,2025-08-11T15:09:22.861188,2025-08-11T15:09:22.889732,28,1,426.1054992675781,28,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:22.889732,2025-08-11T15:09:22.926129,36,2,426.1054992675781,64,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:22.926129,2025-08-11T15:09:22.966792,40,3,426.1054992675781,105,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:22.966792,2025-08-11T15:09:23.122509,155,4,426.1054992675781,261,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:23.122509,2025-08-11T15:09:23.139729,17,5,426.1054992675781,278,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:23.139729,2025-08-11T15:09:23.157611,17,6,426.1054992675781,296,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:22.826178,2025-08-11T15:09:23.157611,331,1,391.0946846008301,331,0,0,67,cell phone,567.286,764.2678,698.1129,951.5371,0.7987,Yes,
P01,S5,3,2025-08-11T15:09:23.260849,2025-08-11T15:09:23.290191,29,7,426.1054992675781,325,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:23.290191,2025-08-11T15:09:23.323590,33,8,426.1054992675781,359,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:23.323590,2025-08-11T15:09:23.356973,33,9,426.1054992675781,392,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:23.456488,2025-08-11T15:09:23.491389,34,10,426.1054992675781,427,0,0,0,person,591.4983,864.675,785.2776,1074.4458,0.3053,Yes,
P01,S5,3,2025-08-11T15:09:23.690062,2025-08-11T15:09:23.728163,38,1,1254.9793720245361,38,0,0,41,cup,584.5786,903.1194,644.835,963.1589,0.254,Yes,
P01,S5,3,2025-08-11T15:09:22.528216,2025-08-11T15:09:24.022120,1493,1,93.13321113586426,1493,0,0,60,dining table,1.2422,396.9799,1032.4858,1073.0225,0.6432,Yes,
P01,S5,3,2025-08-11T15:09:24.222508,2025-08-11T15:09:24.330885,108,1,1787.4255180358887,108,0,0,15,cat,0.5474,448.5433,497.3323,927.4191,0.54,Yes,
